ID	A-coref	B-coref
243	FALSE	FALSE
243-control	FALSE	FALSE
243-swap-1	FALSE	FALSE
243-swap-2	FALSE	FALSE
246	FALSE	FALSE
246-control	FALSE	FALSE
246-swap-1	FALSE	FALSE
246-swap-2	FALSE	FALSE
248	TRUE	TRUE
248-control	TRUE	TRUE
248-swap-1	TRUE	TRUE
248-swap-2	TRUE	TRUE
252	FALSE	TRUE
252-control	FALSE	TRUE
252-swap-1	FALSE	TRUE
252-swap-2	FALSE	TRUE
253	FALSE	TRUE
253-control	FALSE	TRUE
253-swap-1	FALSE	TRUE
253-swap-2	FALSE	TRUE
255	FALSE	TRUE
255-control	TRUE	FALSE
255-swap-1	FALSE	TRUE
255-swap-2	FALSE	TRUE
256	FALSE	TRUE
256-control	FALSE	TRUE
256-swap-1	FALSE	TRUE
256-swap-2	FALSE	TRUE
264	TRUE	FALSE
264-control	TRUE	FALSE
264-swap-1	TRUE	FALSE
264-swap-2	TRUE	FALSE
265	TRUE	FALSE
265-control	TRUE	FALSE
265-swap-1	TRUE	FALSE
265-swap-2	TRUE	FALSE
266	TRUE	FALSE
266-control	TRUE	FALSE
266-swap-1	TRUE	FALSE
266-swap-2	TRUE	FALSE
267	FALSE	TRUE
267-control	FALSE	TRUE
267-swap-1	FALSE	TRUE
267-swap-2	FALSE	TRUE
268	TRUE	TRUE
268-control	TRUE	TRUE
268-swap-1	FALSE	TRUE
268-swap-2	FALSE	TRUE
274	TRUE	FALSE
274-control	TRUE	FALSE
274-swap-1	TRUE	FALSE
274-swap-2	TRUE	FALSE
277	FALSE	TRUE
277-control	FALSE	TRUE
277-swap-1	FALSE	TRUE
277-swap-2	FALSE	TRUE
278	FALSE	TRUE
278-control	FALSE	TRUE
278-swap-1	FALSE	TRUE
278-swap-2	FALSE	TRUE
279	FALSE	TRUE
279-control	FALSE	TRUE
279-swap-1	FALSE	TRUE
279-swap-2	FALSE	TRUE
282	FALSE	TRUE
282-control	FALSE	TRUE
282-swap-1	FALSE	TRUE
282-swap-2	FALSE	TRUE
283	FALSE	TRUE
283-control	FALSE	TRUE
283-swap-1	FALSE	TRUE
283-swap-2	FALSE	TRUE
286	TRUE	FALSE
286-control	TRUE	FALSE
286-swap-1	TRUE	FALSE
286-swap-2	TRUE	FALSE
287	TRUE	FALSE
287-control	TRUE	FALSE
287-swap-1	TRUE	FALSE
287-swap-2	TRUE	FALSE
293	FALSE	TRUE
293-control	FALSE	TRUE
293-swap-1	FALSE	TRUE
293-swap-2	FALSE	TRUE
296	FALSE	FALSE
296-control	FALSE	FALSE
296-swap-1	FALSE	FALSE
296-swap-2	FALSE	FALSE
303	FALSE	TRUE
303-control	FALSE	TRUE
303-swap-1	FALSE	TRUE
303-swap-2	FALSE	TRUE
304	TRUE	FALSE
304-control	TRUE	FALSE
304-swap-1	TRUE	FALSE
304-swap-2	TRUE	FALSE
305	FALSE	TRUE
305-control	FALSE	TRUE
305-swap-1	FALSE	TRUE
305-swap-2	FALSE	TRUE
307	TRUE	FALSE
307-control	TRUE	FALSE
307-swap-1	TRUE	FALSE
307-swap-2	TRUE	FALSE
314	FALSE	TRUE
314-control	FALSE	TRUE
314-swap-1	TRUE	FALSE
314-swap-2	FALSE	TRUE
315	FALSE	TRUE
315-control	FALSE	TRUE
315-swap-1	FALSE	TRUE
315-swap-2	FALSE	TRUE
321	FALSE	TRUE
321-control	FALSE	TRUE
321-swap-1	FALSE	TRUE
321-swap-2	FALSE	TRUE
322	FALSE	TRUE
322-control	FALSE	TRUE
322-swap-1	FALSE	TRUE
322-swap-2	FALSE	TRUE
323	FALSE	TRUE
323-control	FALSE	TRUE
323-swap-1	FALSE	TRUE
323-swap-2	FALSE	TRUE
324	FALSE	TRUE
324-control	FALSE	TRUE
324-swap-1	FALSE	TRUE
324-swap-2	FALSE	TRUE
332	TRUE	FALSE
332-control	TRUE	FALSE
332-swap-1	TRUE	FALSE
332-swap-2	TRUE	FALSE
333	FALSE	TRUE
333-control	TRUE	FALSE
333-swap-1	FALSE	TRUE
333-swap-2	TRUE	FALSE
335	FALSE	FALSE
335-control	FALSE	FALSE
335-swap-1	TRUE	FALSE
335-swap-2	FALSE	FALSE
338	FALSE	TRUE
338-control	TRUE	FALSE
338-swap-1	TRUE	FALSE
338-swap-2	TRUE	FALSE
341	FALSE	FALSE
341-control	FALSE	FALSE
341-swap-1	FALSE	FALSE
341-swap-2	FALSE	FALSE
343	FALSE	TRUE
343-control	FALSE	TRUE
343-swap-1	FALSE	TRUE
343-swap-2	FALSE	TRUE
344	FALSE	TRUE
344-control	FALSE	TRUE
344-swap-1	FALSE	TRUE
344-swap-2	FALSE	TRUE
345	TRUE	FALSE
345-control	TRUE	FALSE
345-swap-1	TRUE	FALSE
345-swap-2	TRUE	FALSE
347	FALSE	FALSE
347-control	FALSE	FALSE
347-swap-1	FALSE	FALSE
347-swap-2	FALSE	FALSE
349	FALSE	FALSE
349-control	FALSE	FALSE
349-swap-1	FALSE	FALSE
349-swap-2	FALSE	FALSE
356	FALSE	FALSE
356-control	FALSE	FALSE
356-swap-1	FALSE	FALSE
356-swap-2	FALSE	FALSE
357	TRUE	FALSE
357-control	TRUE	FALSE
357-swap-1	TRUE	FALSE
357-swap-2	TRUE	FALSE
358	TRUE	FALSE
358-control	TRUE	FALSE
358-swap-1	TRUE	FALSE
358-swap-2	TRUE	FALSE
359	TRUE	FALSE
359-control	TRUE	FALSE
359-swap-1	TRUE	FALSE
359-swap-2	TRUE	FALSE
363	FALSE	TRUE
363-control	FALSE	TRUE
363-swap-1	FALSE	TRUE
363-swap-2	FALSE	TRUE
364	FALSE	TRUE
364-control	FALSE	TRUE
364-swap-1	FALSE	TRUE
364-swap-2	FALSE	TRUE
365	FALSE	TRUE
365-control	FALSE	TRUE
365-swap-1	FALSE	TRUE
365-swap-2	FALSE	TRUE
366	FALSE	TRUE
366-control	FALSE	TRUE
366-swap-1	FALSE	FALSE
366-swap-2	FALSE	TRUE
367	TRUE	FALSE
367-control	TRUE	FALSE
367-swap-1	TRUE	FALSE
367-swap-2	TRUE	FALSE
368	TRUE	TRUE
368-control	FALSE	TRUE
368-swap-1	TRUE	TRUE
368-swap-2	TRUE	TRUE
378	FALSE	TRUE
378-control	TRUE	TRUE
378-swap-1	FALSE	TRUE
378-swap-2	FALSE	TRUE
379	FALSE	TRUE
379-control	FALSE	TRUE
379-swap-1	FALSE	TRUE
379-swap-2	FALSE	TRUE
380	TRUE	FALSE
380-control	TRUE	FALSE
380-swap-1	FALSE	TRUE
380-swap-2	TRUE	FALSE
387	FALSE	TRUE
387-control	FALSE	TRUE
387-swap-1	FALSE	TRUE
387-swap-2	FALSE	TRUE
390	TRUE	FALSE
390-control	TRUE	FALSE
390-swap-1	TRUE	FALSE
390-swap-2	TRUE	FALSE
392	FALSE	TRUE
392-control	FALSE	TRUE
392-swap-1	FALSE	TRUE
392-swap-2	FALSE	TRUE
393	FALSE	TRUE
393-control	FALSE	TRUE
393-swap-1	FALSE	TRUE
393-swap-2	FALSE	TRUE
394	TRUE	TRUE
394-control	TRUE	TRUE
394-swap-1	TRUE	TRUE
394-swap-2	TRUE	TRUE
395	TRUE	TRUE
395-control	TRUE	TRUE
395-swap-1	TRUE	TRUE
395-swap-2	TRUE	TRUE
396	TRUE	TRUE
396-control	TRUE	TRUE
396-swap-1	TRUE	TRUE
396-swap-2	TRUE	TRUE
397	TRUE	TRUE
397-control	TRUE	TRUE
397-swap-1	TRUE	TRUE
397-swap-2	TRUE	TRUE
398	FALSE	FALSE
398-control	FALSE	FALSE
398-swap-1	TRUE	TRUE
398-swap-2	TRUE	TRUE
400	FALSE	TRUE
400-control	FALSE	TRUE
400-swap-1	FALSE	TRUE
400-swap-2	FALSE	TRUE
408	FALSE	TRUE
408-control	FALSE	TRUE
408-swap-1	FALSE	TRUE
408-swap-2	FALSE	TRUE
409	FALSE	TRUE
409-control	FALSE	TRUE
409-swap-1	FALSE	TRUE
409-swap-2	FALSE	TRUE
414	FALSE	TRUE
414-control	FALSE	TRUE
414-swap-1	FALSE	TRUE
414-swap-2	FALSE	TRUE
415	FALSE	TRUE
415-control	FALSE	TRUE
415-swap-1	FALSE	TRUE
415-swap-2	FALSE	TRUE
417	TRUE	FALSE
417-control	TRUE	FALSE
417-swap-1	TRUE	FALSE
417-swap-2	TRUE	FALSE
420	FALSE	TRUE
420-control	FALSE	TRUE
420-swap-1	FALSE	TRUE
420-swap-2	FALSE	TRUE
421	FALSE	TRUE
421-control	FALSE	TRUE
421-swap-1	FALSE	TRUE
421-swap-2	FALSE	TRUE
422	FALSE	FALSE
422-control	FALSE	FALSE
422-swap-1	FALSE	FALSE
422-swap-2	FALSE	FALSE
429	FALSE	FALSE
429-control	TRUE	FALSE
429-swap-1	FALSE	TRUE
429-swap-2	TRUE	FALSE
431	FALSE	TRUE
431-control	TRUE	FALSE
431-swap-1	TRUE	FALSE
431-swap-2	TRUE	FALSE
435	FALSE	FALSE
435-control	FALSE	FALSE
435-swap-1	FALSE	FALSE
435-swap-2	FALSE	FALSE
437	FALSE	FALSE
437-control	FALSE	FALSE
437-swap-1	FALSE	FALSE
437-swap-2	FALSE	FALSE
439	FALSE	TRUE
439-control	FALSE	TRUE
439-swap-1	FALSE	TRUE
439-swap-2	FALSE	TRUE
441	FALSE	TRUE
441-control	FALSE	TRUE
441-swap-1	FALSE	TRUE
441-swap-2	FALSE	TRUE
442	FALSE	TRUE
442-control	FALSE	TRUE
442-swap-1	FALSE	TRUE
442-swap-2	FALSE	TRUE
447	FALSE	FALSE
447-control	FALSE	FALSE
447-swap-1	FALSE	FALSE
447-swap-2	FALSE	FALSE
450	FALSE	TRUE
450-control	FALSE	TRUE
450-swap-1	FALSE	TRUE
450-swap-2	TRUE	FALSE
451	FALSE	TRUE
451-control	FALSE	TRUE
451-swap-1	FALSE	TRUE
451-swap-2	FALSE	TRUE
455	TRUE	FALSE
455-control	TRUE	FALSE
455-swap-1	TRUE	FALSE
455-swap-2	TRUE	FALSE
457	FALSE	TRUE
457-control	FALSE	TRUE
457-swap-1	FALSE	TRUE
457-swap-2	FALSE	TRUE
459	FALSE	TRUE
459-control	FALSE	TRUE
459-swap-1	FALSE	TRUE
459-swap-2	FALSE	TRUE
464	FALSE	TRUE
464-control	FALSE	TRUE
464-swap-1	FALSE	TRUE
464-swap-2	FALSE	TRUE
465	FALSE	TRUE
465-control	FALSE	TRUE
465-swap-1	FALSE	TRUE
465-swap-2	FALSE	TRUE
468	FALSE	TRUE
468-control	FALSE	TRUE
468-swap-1	FALSE	TRUE
468-swap-2	FALSE	TRUE
469	FALSE	TRUE
469-control	FALSE	TRUE
469-swap-1	FALSE	TRUE
469-swap-2	FALSE	TRUE
470	FALSE	TRUE
470-control	FALSE	TRUE
470-swap-1	FALSE	TRUE
470-swap-2	FALSE	TRUE
471	TRUE	FALSE
471-control	TRUE	FALSE
471-swap-1	TRUE	FALSE
471-swap-2	TRUE	FALSE
476	TRUE	FALSE
476-control	TRUE	FALSE
476-swap-1	TRUE	FALSE
476-swap-2	TRUE	FALSE
479	TRUE	FALSE
479-control	TRUE	FALSE
479-swap-1	TRUE	FALSE
479-swap-2	TRUE	FALSE
480	FALSE	FALSE
480-control	FALSE	FALSE
480-swap-1	FALSE	FALSE
480-swap-2	FALSE	FALSE
481	FALSE	TRUE
481-control	FALSE	TRUE
481-swap-1	FALSE	TRUE
481-swap-2	FALSE	TRUE
483	FALSE	FALSE
483-control	FALSE	FALSE
483-swap-1	FALSE	FALSE
483-swap-2	FALSE	FALSE
484	FALSE	FALSE
484-control	FALSE	FALSE
484-swap-1	FALSE	FALSE
484-swap-2	FALSE	FALSE
485	FALSE	FALSE
485-control	FALSE	FALSE
485-swap-1	FALSE	FALSE
485-swap-2	FALSE	FALSE
490	TRUE	FALSE
490-control	TRUE	FALSE
490-swap-1	TRUE	FALSE
490-swap-2	TRUE	FALSE
493	FALSE	TRUE
493-control	FALSE	TRUE
493-swap-1	FALSE	TRUE
493-swap-2	FALSE	TRUE
500	FALSE	FALSE
500-control	FALSE	FALSE
500-swap-1	FALSE	FALSE
500-swap-2	FALSE	FALSE
501	FALSE	TRUE
501-control	FALSE	TRUE
501-swap-1	FALSE	TRUE
501-swap-2	FALSE	TRUE
502	FALSE	TRUE
502-control	FALSE	TRUE
502-swap-1	FALSE	TRUE
502-swap-2	FALSE	TRUE
505	TRUE	FALSE
505-control	TRUE	FALSE
505-swap-1	TRUE	TRUE
505-swap-2	TRUE	FALSE
506	TRUE	FALSE
506-control	TRUE	FALSE
506-swap-1	TRUE	FALSE
506-swap-2	TRUE	FALSE
508	FALSE	FALSE
508-control	FALSE	FALSE
508-swap-1	FALSE	FALSE
508-swap-2	FALSE	FALSE
511	FALSE	TRUE
511-control	FALSE	TRUE
511-swap-1	FALSE	TRUE
511-swap-2	FALSE	TRUE
513	FALSE	TRUE
513-control	FALSE	TRUE
513-swap-1	FALSE	TRUE
513-swap-2	FALSE	TRUE
514	FALSE	TRUE
514-control	FALSE	TRUE
514-swap-1	FALSE	TRUE
514-swap-2	FALSE	TRUE
515	FALSE	TRUE
515-control	FALSE	TRUE
515-swap-1	FALSE	TRUE
515-swap-2	FALSE	TRUE
516	FALSE	TRUE
516-control	FALSE	TRUE
516-swap-1	FALSE	TRUE
516-swap-2	FALSE	TRUE
533	FALSE	FALSE
533-control	FALSE	FALSE
533-swap-1	FALSE	FALSE
533-swap-2	FALSE	FALSE
534	FALSE	TRUE
534-control	FALSE	TRUE
534-swap-1	FALSE	TRUE
534-swap-2	FALSE	TRUE
537	FALSE	TRUE
537-control	FALSE	TRUE
537-swap-1	FALSE	TRUE
537-swap-2	FALSE	TRUE
539	FALSE	TRUE
539-control	FALSE	TRUE
539-swap-1	FALSE	TRUE
539-swap-2	FALSE	TRUE
540	FALSE	FALSE
540-control	FALSE	FALSE
540-swap-1	FALSE	FALSE
540-swap-2	FALSE	FALSE
547	TRUE	FALSE
547-control	TRUE	FALSE
547-swap-1	TRUE	FALSE
547-swap-2	TRUE	FALSE
551	FALSE	TRUE
551-control	FALSE	TRUE
551-swap-1	FALSE	TRUE
551-swap-2	FALSE	TRUE
554	FALSE	TRUE
554-control	FALSE	TRUE
554-swap-1	FALSE	TRUE
554-swap-2	FALSE	TRUE
555	TRUE	TRUE
555-control	TRUE	TRUE
555-swap-1	TRUE	TRUE
555-swap-2	TRUE	TRUE
559	FALSE	TRUE
559-control	FALSE	TRUE
559-swap-1	FALSE	FALSE
559-swap-2	FALSE	FALSE
562	TRUE	FALSE
562-control	FALSE	FALSE
562-swap-1	TRUE	FALSE
562-swap-2	FALSE	FALSE
563	TRUE	FALSE
563-control	TRUE	FALSE
563-swap-1	TRUE	FALSE
563-swap-2	TRUE	FALSE
565	FALSE	FALSE
565-control	FALSE	FALSE
565-swap-1	FALSE	FALSE
565-swap-2	FALSE	FALSE
566	FALSE	TRUE
566-control	FALSE	TRUE
566-swap-1	TRUE	TRUE
566-swap-2	TRUE	TRUE
571	FALSE	TRUE
571-control	FALSE	TRUE
571-swap-1	FALSE	TRUE
571-swap-2	FALSE	TRUE
573	FALSE	TRUE
573-control	FALSE	TRUE
573-swap-1	FALSE	TRUE
573-swap-2	FALSE	TRUE
575	FALSE	TRUE
575-control	FALSE	TRUE
575-swap-1	FALSE	TRUE
575-swap-2	FALSE	TRUE
576	FALSE	TRUE
576-control	FALSE	TRUE
576-swap-1	FALSE	TRUE
576-swap-2	FALSE	TRUE
578	FALSE	TRUE
578-control	FALSE	TRUE
578-swap-1	FALSE	TRUE
578-swap-2	FALSE	TRUE
579	FALSE	TRUE
579-control	FALSE	TRUE
579-swap-1	FALSE	TRUE
579-swap-2	FALSE	TRUE
580	TRUE	FALSE
580-control	TRUE	FALSE
580-swap-1	TRUE	FALSE
580-swap-2	TRUE	FALSE
602	TRUE	FALSE
602-control	TRUE	FALSE
602-swap-1	TRUE	TRUE
602-swap-2	TRUE	FALSE
603	TRUE	FALSE
603-control	TRUE	FALSE
603-swap-1	TRUE	TRUE
603-swap-2	TRUE	FALSE
606	FALSE	FALSE
606-control	FALSE	FALSE
606-swap-1	FALSE	FALSE
606-swap-2	FALSE	FALSE
610	FALSE	TRUE
610-control	FALSE	TRUE
610-swap-1	FALSE	TRUE
610-swap-2	FALSE	TRUE
614	FALSE	FALSE
614-control	FALSE	TRUE
614-swap-1	FALSE	TRUE
614-swap-2	FALSE	TRUE
616	FALSE	TRUE
616-control	FALSE	TRUE
616-swap-1	FALSE	TRUE
616-swap-2	FALSE	TRUE
617	FALSE	FALSE
617-control	FALSE	FALSE
617-swap-1	FALSE	FALSE
617-swap-2	FALSE	FALSE
618	TRUE	FALSE
618-control	TRUE	FALSE
618-swap-1	TRUE	FALSE
618-swap-2	TRUE	FALSE
627	FALSE	TRUE
627-control	FALSE	TRUE
627-swap-1	FALSE	TRUE
627-swap-2	FALSE	TRUE
629	FALSE	FALSE
629-control	TRUE	TRUE
629-swap-1	TRUE	TRUE
629-swap-2	TRUE	TRUE
631	FALSE	FALSE
631-control	TRUE	TRUE
631-swap-1	TRUE	TRUE
631-swap-2	TRUE	TRUE
632	FALSE	FALSE
632-control	FALSE	FALSE
632-swap-1	FALSE	FALSE
632-swap-2	FALSE	FALSE
642	FALSE	TRUE
642-control	FALSE	TRUE
642-swap-1	FALSE	TRUE
642-swap-2	FALSE	TRUE
643	FALSE	TRUE
643-control	FALSE	TRUE
643-swap-1	FALSE	TRUE
643-swap-2	FALSE	TRUE
649	FALSE	FALSE
649-control	FALSE	FALSE
649-swap-1	FALSE	FALSE
649-swap-2	FALSE	FALSE
651	FALSE	FALSE
651-control	FALSE	FALSE
651-swap-1	FALSE	FALSE
651-swap-2	FALSE	FALSE
653	FALSE	TRUE
653-control	FALSE	TRUE
653-swap-1	FALSE	TRUE
653-swap-2	FALSE	TRUE
654	TRUE	FALSE
654-control	TRUE	FALSE
654-swap-1	TRUE	FALSE
654-swap-2	TRUE	FALSE
655	TRUE	FALSE
655-control	TRUE	FALSE
655-swap-1	TRUE	FALSE
655-swap-2	TRUE	FALSE
658	FALSE	FALSE
658-control	FALSE	FALSE
658-swap-1	FALSE	FALSE
658-swap-2	FALSE	FALSE
661	FALSE	TRUE
661-control	FALSE	TRUE
661-swap-1	FALSE	TRUE
661-swap-2	FALSE	TRUE
669	FALSE	TRUE
669-control	FALSE	TRUE
669-swap-1	TRUE	TRUE
669-swap-2	TRUE	TRUE
671	FALSE	FALSE
671-control	FALSE	FALSE
671-swap-1	FALSE	FALSE
671-swap-2	FALSE	FALSE
673	FALSE	TRUE
673-control	FALSE	TRUE
673-swap-1	FALSE	TRUE
673-swap-2	TRUE	TRUE
674	FALSE	FALSE
674-control	FALSE	FALSE
674-swap-1	FALSE	FALSE
674-swap-2	FALSE	FALSE
678	FALSE	TRUE
678-control	FALSE	TRUE
678-swap-1	FALSE	TRUE
678-swap-2	FALSE	TRUE
679	FALSE	TRUE
679-control	FALSE	TRUE
679-swap-1	FALSE	TRUE
679-swap-2	FALSE	TRUE
680	FALSE	TRUE
680-control	FALSE	TRUE
680-swap-1	FALSE	TRUE
680-swap-2	FALSE	TRUE
682	TRUE	FALSE
682-control	TRUE	FALSE
682-swap-1	TRUE	FALSE
682-swap-2	TRUE	FALSE
688	TRUE	FALSE
688-control	TRUE	FALSE
688-swap-1	TRUE	FALSE
688-swap-2	TRUE	FALSE
694	FALSE	TRUE
694-control	FALSE	TRUE
694-swap-1	FALSE	TRUE
694-swap-2	FALSE	TRUE
696	TRUE	FALSE
696-control	TRUE	FALSE
696-swap-1	TRUE	FALSE
696-swap-2	TRUE	FALSE
698	FALSE	FALSE
698-control	FALSE	FALSE
698-swap-1	FALSE	FALSE
698-swap-2	FALSE	FALSE
704	TRUE	FALSE
704-control	TRUE	FALSE
704-swap-1	TRUE	FALSE
704-swap-2	TRUE	FALSE
705	TRUE	FALSE
705-control	FALSE	FALSE
705-swap-1	TRUE	FALSE
705-swap-2	TRUE	FALSE
706	FALSE	TRUE
706-control	FALSE	TRUE
706-swap-1	FALSE	TRUE
706-swap-2	FALSE	TRUE
713	FALSE	TRUE
713-control	FALSE	TRUE
713-swap-1	FALSE	FALSE
713-swap-2	FALSE	FALSE
718	TRUE	FALSE
718-control	TRUE	FALSE
718-swap-1	TRUE	FALSE
718-swap-2	FALSE	TRUE
721	TRUE	FALSE
721-control	TRUE	FALSE
721-swap-1	TRUE	FALSE
721-swap-2	TRUE	FALSE
724	TRUE	FALSE
724-control	FALSE	FALSE
724-swap-1	TRUE	FALSE
724-swap-2	TRUE	FALSE
725	FALSE	FALSE
725-control	FALSE	FALSE
725-swap-1	FALSE	FALSE
725-swap-2	FALSE	FALSE
726	FALSE	TRUE
726-control	FALSE	TRUE
726-swap-1	FALSE	TRUE
726-swap-2	FALSE	TRUE
727	FALSE	TRUE
727-control	FALSE	TRUE
727-swap-1	FALSE	TRUE
727-swap-2	FALSE	TRUE
730	FALSE	TRUE
730-control	FALSE	TRUE
730-swap-1	FALSE	TRUE
730-swap-2	FALSE	TRUE
731	FALSE	FALSE
731-control	FALSE	FALSE
731-swap-1	TRUE	FALSE
731-swap-2	TRUE	FALSE
732	TRUE	FALSE
732-control	TRUE	FALSE
732-swap-1	TRUE	FALSE
